page,country,rev_id,score,FIPS,Type,TimeFrame,Data (M),Population,Region
Olaug Bollestad,Norway,805435864,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Sigurd Jonsson,Norway,805499810,C,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Else-May Botten,Norway,805661303,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Mazyar Keshvari,Norway,805673269,C,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Bente Stein Mathisen,Norway,805675930,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Gina Barstad,Norway,805741133,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Søren Georg Abel,Norway,805775224,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Anette Trettebergstuen,Norway,806106846,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Masud Gharahkhani,Norway,806108446,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Kjersti Toppe,Norway,806110131,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
"Frederick, Hereditary Prince of Denmark",Norway,806111656,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Bjørn Ihler,Norway,806254837,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Marit Arnstad,Norway,806289983,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Hanne Dyveke Søttar,Norway,806319422,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Marianne Marthinsen,Norway,806328358,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Siv Jensen,Norway,806329282,GA,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Trine Skei Grande,Norway,806330216,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Une Aina Bastholm,Norway,806331751,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Bent Høie,Norway,806332411,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Liv Signe Navarsete,Norway,806332872,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Ingrid Heggø,Norway,806332936,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Eva Kristin Hansen,Norway,806353819,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Sivert Bjørnstad,Norway,806353928,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Heidi Greni,Norway,806354016,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Lars Haltbrekken,Norway,806354497,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Lene Vågslid,Norway,806355340,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Geir Jørgen Bekkevold,Norway,806355907,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Kari Henriksen,Norway,806360930,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Norunn Tveiten Benestad,Norway,806361119,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Lene Westgaard-Halle,Norway,806362252,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Sigrid Stray,Norway,806434123,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Henrik Asheim,Norway,806637984,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Erna Solberg,Norway,806669246,C,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Anne Marie Stavnes,Norway,806737615,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Grete Berget,Norway,806781422,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Gro Skartveit,Norway,806818098,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Charles XIV John of Sweden,Norway,806916391,GA,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Gunn Marit Helgesen,Norway,807139458,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Fridtjof Nansen,Norway,807176185,FA,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Philippa of England,Norway,807287039,C,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
"Haakon, Crown Prince of Norway",Norway,807381759,C,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
The Man with the Chocolate Robe,Iran,560758943,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Electoral history of Mohammad Khatami,Iran,687159388,Start,IR,Country,2019,84.15,84150000,SOUTH ASIA
Electoral history of Mahmoud Ahmadinejad,Iran,687159391,Start,IR,Country,2019,84.15,84150000,SOUTH ASIA
Electoral history of Ali Larijani,Iran,687159546,Start,IR,Country,2019,84.15,84150000,SOUTH ASIA
Mohammad Saeedi,Iran,705527296,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Abdallah ibn Ishaq ibn Ibrahim,Iran,707328021,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Homa Arjomand,Iran,707498896,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Saeed Shirkavand,Iran,709493078,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Gholamreza Rezvani,Iran,709560459,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Mehrnoush Najafi Ragheb,Iran,710012667,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Mohsen Safaei Farahani,Iran,710019787,Start,IR,Country,2019,84.15,84150000,SOUTH ASIA
Kianush Sanjari,Iran,710812022,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Mohammad-Reza Modarresi Yazdi,Iran,711879916,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Mohammad-Hossein Khoshvaght,Iran,711880330,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Ezzat Ebrahim-Nejad,Iran,713312428,Start,IR,Country,2019,84.15,84150000,SOUTH ASIA
Hossein Ardabili,Iran,713683090,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Koorosh Modaressi,Iran,713867364,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Jalal Al-Din Taheri,Iran,716732135,Start,IR,Country,2019,84.15,84150000,SOUTH ASIA
Electoral history of Mohsen Rezaee,Iran,716976407,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Yadollah Javani,Iran,717092724,Start,IR,Country,2019,84.15,84150000,SOUTH ASIA
Alireza Noori,Iran,717624534,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Fereidon Hasanvand,Iran,720868456,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Amir-Hossein Khozeimé Alam,Iran,723208854,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Seqat-ol-Eslam Tabrizi,Iran,723570211,Start,IR,Country,2019,84.15,84150000,SOUTH ASIA
Mohammad Vaez Mousavi,Iran,723662676,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Ahmad Hussein Adl,Iran,723988439,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Abolhassan Diba,Iran,724335320,Start,IR,Country,2019,84.15,84150000,SOUTH ASIA
Ayatollah Uzma Sayyid Ali Hussaini Khamenei,Iran,724533651,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Ali Malakouti,Iran,724880477,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Mir Ebrahim Seyyed Hatami,Iran,724880556,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Fereydun Ebrahimi,Iran,725638368,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Salamullah Javid,Iran,725639413,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Mohammad Biriya,Iran,725642494,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Rabi-ollah Kabiri,Iran,725642519,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Seyed Esmaeil Mousavi Zanjani,Iran,725755199,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Mohammad Hassannejad,Iran,728300066,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Mohammad Bagher Kharazi,Iran,728507931,Start,IR,Country,2019,84.15,84150000,SOUTH ASIA
Majid Takht-Ravanchi,Iran,728637259,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Mohammad Bagheri (politician),Iran,731995279,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Javad Arianmanesh,Iran,732113043,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Malek Ashraf,Iran,735467818,Start,IR,Country,2019,84.15,84150000,SOUTH ASIA
Seyed Mahmoud-Reza Sajjadi,Iran,737385600,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Somayeh Mahmoudi,Iran,738383246,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Ghazanfar Roknabadi,Iran,738533617,Start,IR,Country,2019,84.15,84150000,SOUTH ASIA
Maurice Motamed,Iran,740807949,Start,IR,Country,2019,84.15,84150000,SOUTH ASIA
Hamid Baeidinejad,Iran,742414965,Start,IR,Country,2019,84.15,84150000,SOUTH ASIA
Akbar Ranjbarzadeh,Iran,743221155,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Ali Alilu,Iran,744464334,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Aziz Akbarian,Iran,744468173,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Gholamreza Shafeei,Iran,744472039,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Ali Asghar Sherdost,Iran,744518512,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Malek Mansur Mirza Shoa O-Saltaneh,Iran,744518731,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Hamid Seyyed Mahdavi Aghdam,Iran,744518855,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Vahid Jalalzadeh,Iran,744519714,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Fakhraddin Mousavi,Iran,744520727,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Zeynalabedin Qiyami,Iran,744520871,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Rahimkhan Chalabianloo,Iran,744521179,Start,IR,Country,2019,84.15,84150000,SOUTH ASIA
Gholamreza Nouri Ghezeljeh,Iran,744523077,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Jalil Jafari,Iran,744523357,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Bashir Khaleghi,Iran,744523525,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Bahlul Hoseini,Iran,744524381,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Abbas Fallahi Babajan,Iran,744533101,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Mohammad Ali Madadi,Iran,744533828,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Mehdi Davatgari,Iran,744534261,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Mohammad Hazratpour,Iran,744534894,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Ruhollah Hazratpour,Iran,744535007,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Movayyed Hoseini Sadr,Iran,744535030,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Akbar Nikzad,Iran,744538298,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Mohammad Reza Khanmohammadi,Iran,744538353,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Younes Asadi,Iran,744538509,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Mohammad Alipour Rahmati,Iran,744538583,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Reza Abdollahi,Iran,744557079,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Shahruz Afghami,Iran,744557142,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Safar Ghahremani,Iran,744641526,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Hemayat Mirzadeh,Iran,748079828,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Mir Bashir Gasimov,Iran,749149262,Start,IR,Country,2019,84.15,84150000,SOUTH ASIA
Razie Golami Shabani,Iran,753174648,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Jahangir Mahmoudi,Iran,753209427,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Ziaeddin Tavakkoli,Iran,753318805,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Neda Hassani,Iran,755591227,Start,IR,Country,2019,84.15,84150000,SOUTH ASIA
Seyed Mostafa Mir-Shafiei,Iran,755821847,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Electoral history of Gholam-Ali Haddad-Adel,Iran,756121959,Start,IR,Country,2019,84.15,84150000,SOUTH ASIA
Morteza Saffari Natanzi,Iran,756206172,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Javad Mojtahed Shabestari,Iran,756612384,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Tahmasb Mazaheri,Iran,756614949,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Mahmoud Jafarian,Iran,756757376,Start,IR,Country,2019,84.15,84150000,SOUTH ASIA
Rasoul Montajabnia,Iran,757068511,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Ali Bakhtiar,Iran,757423476,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Nasser Yeganeh,Iran,758572616,Start,IR,Country,2019,84.15,84150000,SOUTH ASIA
Electoral history of Akbar Hashemi Rafsanjani,Iran,759882189,Start,IR,Country,2019,84.15,84150000,SOUTH ASIA
Ali Agha-Mohammadi,Iran,759998187,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
"Mohammad Khatami presidential campaign, 2009",Iran,760093291,Start,IR,Country,2019,84.15,84150000,SOUTH ASIA
Sabar Mirza Farman Farmaian,Iran,760462089,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Mozaffar Alam,Iran,760586213,Start,IR,Country,2019,84.15,84150000,SOUTH ASIA
Taqi Arani,Iran,760731236,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Abbas Farzanegan,Iran,760830632,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Ali Asghar Al-Mousavi,Iran,761581534,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Hamid Garmabi,Iran,761753605,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Arsalan Fathipour,Iran,762288716,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Interior minister of the Republic of Iran,Iran,762746486,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Farajollah Rasai,Iran,763442957,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Mostafa Adl,Iran,763881189,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Siavash Daneshvar,Iran,764583481,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Ateghe Sediqi,Iran,764896195,Start,IR,Country,2019,84.15,84150000,SOUTH ASIA
Reza Zanjani,Iran,764924931,Start,IR,Country,2019,84.15,84150000,SOUTH ASIA
Haydar Khan Amo-oghli,Iran,765632816,C,IR,Country,2019,84.15,84150000,SOUTH ASIA
Hassan Sane'i,Iran,765769792,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Habibollah Peyman,Iran,765942915,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Nasrollah Jahangard,Iran,765973305,Start,IR,Country,2019,84.15,84150000,SOUTH ASIA
Behnam Mahmoudi,Iran,766393135,Start,IR,Country,2019,84.15,84150000,SOUTH ASIA
Mozaffar Firouz,Iran,767009614,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Baqir Khan,Iran,767037878,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Ali Reza Khan Azod al-Molk,Iran,767222715,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Mohammed Sharif Malekzadeh,Iran,767699979,Start,IR,Country,2019,84.15,84150000,SOUTH ASIA
Safdar Rahmat Abadi,Iran,767836166,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Ghulam Yahya Daneshian,Iran,767842544,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Javad Jahangirzadeh,Iran,768018339,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Mohsen Kharazi,Iran,768804494,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Elias Naderan,Iran,769103293,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Bijan Nobaveh-Vatan,Iran,769103386,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
