page,country,rev_id,score,FIPS,Type,TimeFrame,Data (M),Population,Region
Ellen Eriksen,Norway,790138031,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Anita Utseth,Norway,790138098,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Ingrid Eide,Norway,790138231,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Anita Østby,Norway,790138358,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Krishna Chudasama,Norway,790138572,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Manuela Ramin-Osmundsen,Norway,790138630,C,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Mette Gundersen,Norway,790138792,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Kari Gjesteby,Norway,790138978,C,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Hilde Singsaas,Norway,790139592,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Guri Størvold,Norway,790139648,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Rachel Grepp,Norway,790139716,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Olga Nybø,Norway,790139745,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Karen Platou,Norway,790139816,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Naomi Ichihara Røkkum,Norway,790139869,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Carl Stousland,Norway,790194334,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Wollert Konow (merchant),Norway,790356874,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
August Konow,Norway,790410497,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Torill Selsvold Nyborg,Norway,790508771,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Inga Marte Thorkildsen,Norway,790721644,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Magnhild Meltveit Kleppa,Norway,791108294,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Bente Sandvig,Norway,791120416,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Berge Furre,Norway,791134722,C,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Bergfrid Fjose,Norway,791136948,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Peder A. Aarøe,Norway,791392446,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Lars Oftedal (born 1838),Norway,791677667,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Inger Elin Utsi,Norway,791682852,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Silje Karine Muotka,Norway,791684401,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Olina Storsand,Norway,791687301,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Henriette Westhrin,Norway,791965195,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Per-Kristian Foss,Norway,792079008,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Ragnvald Paulson,Norway,792098066,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Láilá Susanne Vars,Norway,792458459,C,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Ælfgifu of Northampton,Norway,792582530,C,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Reza Rezaee,Norway,792952577,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Randi Anda,Norway,793102410,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Norwegian Labour Party's Women's Federation,Norway,793120607,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Astri Rynning,Norway,793132259,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Grethe Værnø,Norway,793132604,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Nicoline Hambro,Norway,793133021,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Betzy Kjelsberg,Norway,793133118,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Berit Kvæven,Norway,793134819,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Siri Hangeland,Norway,793134897,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Kjellaug Pettersen,Norway,793135040,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Irene Bauer,Norway,793135244,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Sigrun Hoel,Norway,793135410,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Karin Maria Bruzelius,Norway,793135648,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Eva Kolstad,Norway,793136062,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Signe Swensson,Norway,793136154,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Marit Aarum,Norway,793136268,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Ingerid Gjøstein Resi,Norway,793136372,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Dakky Kiær,Norway,793136452,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Margarete Bonnevie,Norway,793136542,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Kitty Bugge,Norway,793136621,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Fredrikke Mørck,Norway,793137192,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Aadel Lampe,Norway,793137377,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Randi Blehr,Norway,793137591,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Ragna Nielsen,Norway,793138028,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Anna Bugge,Norway,793138185,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Martha Larsen Jahn,Norway,793139281,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Thina Thorleifsen,Norway,793139425,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Grethe Irvoll,Norway,793139578,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Brit Fougner,Norway,793140192,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Gunhild Ziener,Norway,793141196,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Julla Sæthern,Norway,793184987,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
André Oktay Dahl,Norway,793575259,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Charlotte Spurkeland,Norway,793750972,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Peder Jørgen Cloumann,Norway,793793722,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Moy Herborg Regina Nordahl,Norway,794184237,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Marta Marie Nielsen,Norway,794185864,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Christopher Winther Scheen,Norway,794253643,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Haakon the Crazy,Norway,795008771,C,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Gry-Anette Rekanes Amundsen,Norway,795861232,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Anna Stang,Norway,795900877,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Margunn Bjørnholt,Norway,796173514,GA,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Berit Ås,Norway,796709110,C,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Christine B. Meyer,Norway,796750582,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Margaret I of Denmark,Norway,798280487,FA,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Anna Louise Beer,Norway,798487858,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Ellisif Wessel,Norway,798488698,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Ingebjørg Kasin Sandsdalen,Norway,798489373,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Anna Hvoslef,Norway,798491956,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Kirsten Hansteen,Norway,798494973,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Christian VIII of Denmark,Norway,798989738,C,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Talleiv Huvestad,Norway,799195426,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Kolbjørn Varmann,Norway,799339364,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Linda Medalen,Norway,799476392,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Mary Eide,Norway,800101448,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Aslaug Fadum,Norway,800101670,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Elisabet Fidjestøl,Norway,800101795,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Ebba Lodden,Norway,800106070,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Elisabeth Walaas,Norway,800116733,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Ingeborg Moen Borgerud,Norway,800162477,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Kristin Halvorsen,Norway,800163755,C,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Mette Nord,Norway,800189411,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Ole Hersted Schjøtt,Norway,800189867,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Marit Nybakk,Norway,800248529,C,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Ruth Svendsen,Norway,800255679,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Hans Jensen Blom,Norway,800256550,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Andreas Hauge,Norway,800263455,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Sven-Roald Nystø,Norway,800294919,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Kaci Kullmann Five,Norway,800550712,C,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Inger Lise Hansen,Norway,800594606,C,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Anna Ceselie Brustad Moe,Norway,800749975,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Jenny Ellaug Følling,Norway,800752913,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Claudia Olsen,Norway,800756536,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Liv Aasen,Norway,801110671,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Marcus Thrane,Norway,801236888,C,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Eli Blakstad,Norway,801373913,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Ellen Horn,Norway,801450273,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Erling Lae,Norway,801947190,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Eskil Pedersen,Norway,802028460,GA,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Mona Røkke,Norway,802653612,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Einar Gelius,Norway,802826483,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Gry Larsen,Norway,803260813,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Lars Andreas Oftedahl,Norway,803261968,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Ragna Hørbye,Norway,803263113,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Torhild Aarbergsbotten,Norway,803264530,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Ingunn Gjerstad,Norway,803442630,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Marianne Borgen,Norway,803617426,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Jan Gulbrandsen,Norway,803647093,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Knut Olav Åmås,Norway,803882718,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Anne Holt,Norway,803981254,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Fredrikke Marie Qvam,Norway,804198701,C,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Charles XV of Sweden,Norway,804481917,C,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Olav Engelbrektsson,Norway,804508658,FA,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Marit Greve,Norway,804625624,Start,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Sylvi Listhaug,Norway,804643552,GA,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Regina Alexandrova,Norway,805058027,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Elisabeth Fanghol,Norway,805058354,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Anne Helene Sandum,Norway,805059006,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Monica Gåsvatn,Norway,805060038,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Torild Skard,Norway,805214324,C,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Harald V of Norway,Norway,805277771,C,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Astrid Nøklebye Heiberg,Norway,805318056,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
Kari Kjønaas Kjos,Norway,805435325,Stub,NO,Country,2019,5.3870000000000005,5387000,NORTHERN EUROPE
